Text,Character,Affiliation,Episode,EpisodeName,Season
" It’s Maester Luwin, my lord.",MAESTER LUWIN,NORTH,1,Winter is Coming,1
ls it true about Stannis and Renly?,ADDAM MARBRAND,WESTERLANDS,10,Fire and Blood,1
Kevan Lannister:  First we must return to Casterly Rock to raise –,ADDAM MARBRAND,WESTERLANDS,10,Fire and Blood,1
We speak in the presence of the Drowned God. In his name we father today to choose a new king as our leader. Who makes a claim?,AERON GREYJOY,IRON ISLANDS,5,The Door,6
" May Euron, your servant, be born again from the sea as you were. Bless him with salt. Bless him with stone. Bless him with steel.",AERON GREYJOY,IRON ISLANDS,5,The Door,6
Let the fish eat the scales off his eyes.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
" What is dead may never die, but rises again harder and stronger.",AERON GREYJOY,IRON ISLANDS,5,The Door,6
What is dead may never die.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
They stole our best ships.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
Listen to the waves. Listen to the god. He is speaking to us and he says we shall have no king but Euron Greyjoy. Let the sea wash your follies and your vanities away. Let the old Euron drown. Let his lungs fill with seawater.,AERON GREYJOY,IRON ISLANDS,5,The Door,6
" Lord, take your servant Balon back beneath the waves. Feed the creatures of your kingdom on his flesh. Pull his bones down to your depths to rest beside his ancestors and his children.",AERON GREYJOY,IRON ISLANDS,2,Home,6
" The Salt Throne is not yours to swear upon, not unless the kingsmoot chooses you.",AERON GREYJOY,IRON ISLANDS,2,Home,6
Your father does not get to choose. The law is clear. Perhaps you'll win. Perhaps you’ll be the first woman in history to rule the Ironborn. And perhaps not.,AERON GREYJOY,IRON ISLANDS,2,Home,6
(chanting)  The King in the North! The King in the North! The King in the North! The King in the North!,CROWD,WESTEROSI,10,Fire and Blood,1
(chanting)  The King in the North! The King in the North! The King in the North! The King in the North!,CROWD,WESTEROSI,10,Fire and Blood,1
The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North!,CROWD,WESTEROSI,10,The Winds of Winter,6
Long may she reign.,CROWD,WESTEROSI,10,The Winds of Winter,6
Sword! Sword! Sword! Sword! Sword! Sword! Sword! Sword! Sword!,CROWD,WESTEROSI,9,Baelor,1
" Save our sons from war, we pray",CROWD,WESTEROSI,9,Blackwater,2
Halfman! Halfman! Halfman!,CROWD,WESTEROSI,9,Blackwater,2
We do!,CROWD,WESTEROSI,9,Battle of the Bastards,6
We do!,CROWD,WESTEROSI,9,Battle of the Bastards,6
Hail King Joffrey. Hail Queen Margaery.,CROWD,WESTEROSI,6,Blood of My Blood,6
All hail Bran the Broken!,CROWD,WESTEROSI,6,The Iron Throne,8
The Queen in the North! The Queen in the North! The Queen in the North! The Queen in the North! The Queen in the North!,CROWD,WESTEROSI,6,The Iron Throne,8
Long may he reign!,CROWD,WESTEROSI,5,First of His Name,4
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
Aye!,CROWD,WESTEROSI,5,The Door,6
What is dead may never die.,CROWD,WESTEROSI,5,The Door,6
And now his watch has ended.,CROWD,WESTEROSI,4,And Now His Watch Is Ended,3
To Gendry!,CROWD,WESTEROSI,4,The Last of the Starks,8
Rah! Rah! Rah! Rah!,CROWD,WESTEROSI,4,The Last of the Starks,8
What is dead may never die.,CROWD,WESTEROSI,2,Home,6
Stand together!,CROWD,WESTEROSI,1,Dragonstone,7
Aye!,CROWD,WESTEROSI,1,Dragonstone,7
And now their watch is ended.,NIGHT'S WATCH,WALL,10,The Children,4
" And win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the shield that guards the realms of men. I pledge my life and honor to the Night's Watch, for this night and all the nights to come!",NIGHT'S WATCH,WALL,9,The Watchers on the Wall,4
Man says he saw your uncle at Hardhome the last full moon.,ALLISER THORNE,WALL,10,Mother's Mercy,5
Could be. There are ways to find out.,ALLISER THORNE,WALL,10,Mother's Mercy,5
Over there.,ALLISER THORNE,WALL,10,Mother's Mercy,5
For the Watch.,ALLISER THORNE,WALL,10,Mother's Mercy,5
Get ready!,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
A hundred thousand you say?,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
You can say it if you like. We should've sealed the tunnel while we had the chance like you suggested.,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
" Do you know what leadership means, Lord Snow? It means that the person in charge gets second-guessed by every clever little twat with a mouth. But if he starts second-guessing himself, that's the end. For him. For the clever little twats. For everyone. This is not the end. Not for us. Not if you lot do your duty for however long it takes to beat them back. And then you get to go on hating me and I get to go on wishing your Wildling whore had finished the job.",ALLISER THORNE,WALL,9,The Watchers on the Wall,4
" Archers knock, everyone else hold.",ALLISER THORNE,WALL,9,The Watchers on the Wall,4
I said knock and hold you cunts! Does knock mean draw?!,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
Does fucking hold mean fucking drop?!,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
You all plan to die here tonight?,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
That's very good to hear. Draw!,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
Now?,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
" I'm going down then. Brother Slynt, you have The Wall.",ALLISER THORNE,WALL,9,The Watchers on the Wall,4
" What are you fucking waiting for, loose!",ALLISER THORNE,WALL,9,The Watchers on the Wall,4
Brothers! A hundred generations have defended this castle. We've never fallen before. She will not fall tongiht. Those are Things at our walls. They eat the flesh of the men they kill. Do you want to fill the belly of a Thing tonight?,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
" Tonight we fight. And when the sun rises I promise you, Castle Black will stand.",ALLISER THORNE,WALL,9,The Watchers on the Wall,4
The Night's Watch will stand.,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
" With me now! Now, with me!",ALLISER THORNE,WALL,9,The Watchers on the Wall,4
Protect the gate!,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
Hold the fucking gate! Hold it!,ALLISER THORNE,WALL,9,The Watchers on the Wall,4
Open the gates.,ALLISER THORNE,WALL,9,The Dance of Dragons,5
" You have a good heart, Jon Snow. It will get us all killed.",ALLISER THORNE,WALL,9,The Dance of Dragons,5
Lord Snow.,ALLISER THORNE,WALL,7,Mockingbird,4
This is no place for wild beasts. Lock him away or I'll let Hobb throw him in tonight's stew.,ALLISER THORNE,WALL,7,Mockingbird,4
We've been preparing.,ALLISER THORNE,WALL,7,Mockingbird,4
And how would we range north?,ALLISER THORNE,WALL,7,Mockingbird,4
" Coward. You would cut off our legs, pluck out our eyes, leave us cowering behind the Wall hoping for the storm to pass?",ALLISER THORNE,WALL,7,Mockingbird,4
" This castle has stood for thousands of years. The Night's Watch has defended her for thousands of years. And in all those centuries, we have never sealed the tunnel.",ALLISER THORNE,WALL,7,Mockingbird,4
The bars on those gates are four inches thick. Cold-rolled steel.,ALLISER THORNE,WALL,7,Mockingbird,4
" Remind me which order you belong to, Lord Snow.",ALLISER THORNE,WALL,7,Mockingbird,4
Are the stewards responsible for maintaining the tunnel?,ALLISER THORNE,WALL,7,Mockingbird,4
Who would that be?,ALLISER THORNE,WALL,7,Mockingbird,4
"Ah, the builders. First Builder Yarwyck, Lord Snow here recommends sealing the tunnel, leaving us unable to carry out our duties as sworn brothers of the Night's Watch. Do you agree with him?",ALLISER THORNE,WALL,7,Mockingbird,4
" Given your deep knowledge of the wildling army, Lord Snow, you and Tarly will take night duties atop the Wall until the full moon.",ALLISER THORNE,WALL,7,Mockingbird,4
" Moving on. First Builder, we'll need 100 barrels of pitch brought atop the wall.",ALLISER THORNE,WALL,7,Mockingbird,4
" Lord Commander, it is my duty to tell you I believe this mission to be reckless, foolhardy, and an insult to all of the Brothers that have died fighting the wildlings.",ALLISER THORNE,WALL,7,The Gift,5
" You’re losing all your friends, Tarly.",ALLISER THORNE,WALL,7,The Gift,5
We've been fighting them all for thousands of years. They've slaughtered villages. They've slaughtered our brothers.,ALLISER THORNE,WALL,5,Kill the Boy,5
" Grenn's a ranger.You're a steward. Maybe you forgot that while you were off with your wildling bitch, but I didn't.",ALLISER THORNE,WALL,4,Oathkeeper,4
Tell them your name.,ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" Well, you couldn't be any worse than you look. See what he can do.",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" On your feet. Pick up your sword. Hit him till he finds his feet. It seems they've run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder.",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" Looks like the bastard's in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard.",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
We're done for today. Go clean the armory. That's all you're good for.,ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" What are you waiting for? Attack him! You, get in there.",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy?",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" Enjoying yourselves? You look cold, boys.",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
" That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a two-week mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100-foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies.",ALLISER THORNE,WALL,4,"Cripples, Bastards, and Broken Things",1
Lord Snow. What do you think you're doing?,ALLISER THORNE,WALL,4,Oathkeeper,4
And that someone isn't you. Go find a chamber pot to empty. Go on. Do it. You traitor's bastard. Give me an excuse. Mormont's not hereto protect you now.,ALLISER THORNE,WALL,4,Oathkeeper,4
Get back to work. Now! I said now!,ALLISER THORNE,WALL,4,Oathkeeper,4
You think I care if they like me? We're at war.,ALLISER THORNE,WALL,4,Oathkeeper,4
" Come on, get on with it. What are you waiting for? Summer?",ALLISER THORNE,WALL,4,Oathkeeper,4
" Your foray to Craster's Keep, I'll sanction it. But I won't order anyone to go with you. Volunteers only.",ALLISER THORNE,WALL,4,Oathkeeper,4
(nods),ALLISER THORNE,WALL,4,Oathkeeper,4
What took you so long?,ALLISER THORNE,WALL,3,Breaker of Chains,4
By what?,ALLISER THORNE,WALL,3,Breaker of Chains,4
" We just went over this, boy. -Justice can wait.",ALLISER THORNE,WALL,3,Breaker of Chains,4
" If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?",ALLISER THORNE,WALL,3,Lord Snow,1
Next!,ALLISER THORNE,WALL,3,Lord Snow,1
Next!,ALLISER THORNE,WALL,3,Lord Snow,1
" Lord Snow, it appears you're the least useless person here. Go clean yourselves up. There's only so much I can stomach in a day.",ALLISER THORNE,WALL,3,Lord Snow,1
" There he is, Sam the Slayer.",ALLISER THORNE,WALL,3,Breaker of Chains,4
" If we go after them, we'll be giving them what they want. They want to draw us out, pick us off a few at a time.",ALLISER THORNE,WALL,3,Breaker of Chains,4
" You're a champion of the common people, Lord Snow. What do you say to Brother Pyp's proposition?",ALLISER THORNE,WALL,3,Breaker of Chains,4
We need to shore up Castle Black and we need to defend the Wall. That is our job.,ALLISER THORNE,WALL,3,Breaker of Chains,4
" I can't argue with any of that. (stands up) But who does Jon Snow want to command? Night's Watch or the wildlings? Everyone knows he loved a wildling girl and spoke with Mance Rayder many times. What would have happened in that tent between those two old friends if Stannis's army hadn't come along? We all saw him put the King-beyond-the-Wall out of his misery. Do you want to choose a man who has fought the wildlings all his life, or a man who makes love to them?",ALLISER THORNE,WALL,2,The House of Black and White,5
Crowded. You'd think we were serving venison stew.,ALLISER THORNE,WALL,2,The House of Black and White,5
" It’s time, Ser Davos. Open the door and the men inside can rejoin their brothers in peace. We’ll even set the wolf free north of the Wall where it belongs. Nobody needs to die tonight.",ALLISER THORNE,WALL,2,Home,6
Come on.,ALLISER THORNE,WALL,2,Home,6
Attack!,ALLISER THORNE,WALL,2,Home,6
" Fight, you cowards!",ALLISER THORNE,WALL,2,Home,6
For thousands of years the Night’s Watch has held Castle Black against the Wildlings.,ALLISER THORNE,WALL,2,Home,6
You fucking traitor.,ALLISER THORNE,WALL,2,Home,6
These men need a firm hand. Always have. They’re poachers and thieves.,ALLISER THORNE,WALL,1,The Wars to Come,5
Not soldiers.,ALLISER THORNE,WALL,1,The Wars to Come,5
So you admit you murdered Qhorin Halfhand?,ALLISER THORNE,WALL,1,Two Swords,4
No? You put your sword through a brother of the Night's Watch. What do you call that?,ALLISER THORNE,WALL,1,Two Swords,4
Don't talk about the Halfhand as if you knew him. He was my brother.,ALLISER THORNE,WALL,1,Two Swords,4
There's a difference between sneaking off to the Mole's Town brothel and sleeping with the enemy.,ALLISER THORNE,WALL,1,Two Swords,4
Impossible. You can't get 50 wildlings together before they start killing each other.,ALLISER THORNE,WALL,1,Two Swords,4
" I am acting commander here, Maester Aemon.",ALLISER THORNE,WALL,1,Two Swords,4
And I don't trust the bastard.,ALLISER THORNE,WALL,1,Two Swords,4
And you always know when a man's telling a lie? How did you acquire this magical power?,ALLISER THORNE,WALL,1,Two Swords,4
You all know why you’re here. Jon Snow is dead.,ALLISER THORNE,WALL,1,The Red Woman,6
I did.,ALLISER THORNE,WALL,1,The Red Woman,6
And Bowen Marsh and Othell Yarwyck and the other officers in this castle.,ALLISER THORNE,WALL,1,The Red Woman,6
You’re right!,ALLISER THORNE,WALL,1,The Red Woman,6
" We’ve committed treason, all of us. Jon Snow was my Lord Commander. I had no love for him. That was no secret. But I never once disobeyed an order. Loyalty is the foundation on which the Night’s Watch is built, and the Watch means everything to me. I have given my life, we have all given our lives to the Night’s Watch. Jon Snow was going to destroy the Night’s Watch. He let the wildlings through our gates, as no Lord Commander has ever done before. He gave them the very land on which they reaved and raped and murdered. Lord Commander Snow did what he thought was right, I’ve no doubt about that. And what he thought was right would have been the end of us. He thrust a terrible choice upon us, and we made it.",ALLISER THORNE,WALL,1,The Red Woman,6
" Ser Davos, we have no cause to fight. We are both anointed knights.",ALLISER THORNE,WALL,1,The Red Woman,6
" I will grant amnesty to all brothers who thrown down their arms before nightfall. And you, Ser Davos, I will allow you to travel south, a free man with a fresh horse.",ALLISER THORNE,WALL,1,The Red Woman,6
What?,ALLISER THORNE,WALL,1,The Red Woman,6
" We’ll give you food. You can bring the Red Woman with you if you like. Or you can leave her here with us, whichever you choose. But surrender by nightfall or this ends with blood.",ALLISER THORNE,WALL,1,The Red Woman,6
" I had a choice, Lord Commander. Betray you or betray the Night’s Watch. You brought an army of wildlings into our lands. An army of muderers and raiders. If I had to do it all over knowing where I’d end up, I pray I’d make the right choice again.",ALLISER THORNE,WALL,3,Oathbreaker,6
" I fought, I lost. Now I rest. But you, Lord Snow, you’ll be fighting their battles forever.",ALLISER THORNE,WALL,3,Oathbreaker,6
" She admired your spirit, Your Grace.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
She,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" She tore the paper in half, Your Grace.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
Cinda Lannister.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" Well, perhaps she's gotten a little larger than she",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" I squired for you once, you know.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" The tournament, the day of Willem Frey's wedding.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
You did. Your squire had gotten so drunk the night before that he threw up.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
Bryan.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" That's right. I ran up and volunteered. ""Let me, my lord. Let me. "" My father was furious. Afraid I'd embarrass our family in front of the Family.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
You really remember?,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
When I think back to that day,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
I Never mind. It's embarrassing.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" I remember everything about that day, your helmet, your horse, the rake lines in the dirt along the list, where the sun was in the sky when you knocked Balon from his horse, and the dent in your shield when you handed it back to me. I'll remember it all until I die. That was the best day of my life. And I remember being on the field after it was over. All the competitors were done. I was the last one out there. And I couldn't leave. I couldn't bring myself to go and sit with my family at a table so far on the edge of the feast you could barely even see the bride. And I couldn't bear to tell them what it had been like squiring for you, when I knew that they could never have the faintest idea what I was talking about.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" How could you? Sorry, I I didn't mean to doubt you.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
Which knight was it?,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
What was he like?,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
It's hard to put into words.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
(nods) Leaving that battlefield was like being dragged off to prison.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
Did you squire for him again?,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
(smiles),ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
And have you thought about,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
And?,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
(nods),ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
What is it?,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" Well, let me help you.",ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
Tell me.,ALTON LANNISTER,WESTERLANDS,7,A Man Without Honor,2
" I will, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,The Night Lands,2
" I did. They have not broken his spirit, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,The Night Lands,2
" I will, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,The Night Lands,2
" I am, Your Grace.",ALTON LANNISTER,WESTERLANDS,1,The North Remembers,2
" An honorable request, Your Grace.",ALTON LANNISTER,WESTERLANDS,1,The North Remembers,2
" These are... Your Grace, these are...",ALTON LANNISTER,WESTERLANDS,1,The North Remembers,2
" King Joffrey is a Baratheon, Your Grace.",ALTON LANNISTER,WESTERLANDS,1,The North Remembers,2
My lord?,AMORY LORCH,,6,The Old Gods and the New,2
" My apologies, my lord. I must have",AMORY LORCH,,6,The Old Gods and the New,2
" Where are you going, girl?",AMORY LORCH,,6,The Old Gods and the New,2
Why?,AMORY LORCH,,6,The Old Gods and the New,2
What might this be?,AMORY LORCH,,6,The Old Gods and the New,2
What for?,AMORY LORCH,,6,The Old Gods and the New,2
Why would he do that? Let's go and ask him.,AMORY LORCH,,6,The Old Gods and the New,2
Move! Get out of the way!,AMORY LORCH,,6,The Old Gods and the New,2
" My lord, I",AMORY LORCH,,6,The Old Gods and the New,2
Our spies report growing discontent among the Northern lords. They want to return home and gather the harvest before the crops turn.,AMORY LORCH,,5,The Ghost of Harrenhal,2
" Where's the bastard, crow?",AMORY LORCH,,3,What Is Dead May Never Die,2
" Ser Amory Lorch, sworn bannerman to Lord Tywin Lannister. These men from the capital requested our assistance. Drop your weapons in the name of the King.",AMORY LORCH,,3,What Is Dead May Never Die,2
" This is your last chance. In the name of King Joffrey, drop your weapons.",AMORY LORCH,,3,What Is Dead May Never Die,2
So be it.,AMORY LORCH,,3,What Is Dead May Never Die,2
Round up any survivors. We'll take them back to Harrenhal.,AMORY LORCH,,3,What Is Dead May Never Die,2
We're looking for a bastard named Gendry. Give him up or I'll start taking eyeballs.,AMORY LORCH,,3,What Is Dead May Never Die,2
Spotted a Lannister raiding party.,ANGUY,,7,The Bear and the Maiden Fair,3
No more than 20.,ANGUY,,7,The Bear and the Maiden Fair,3
Less than a day's ride south.,ANGUY,,7,The Bear and the Maiden Fair,3
You're good. You're not as good as you think you are.,ANGUY,,6,The Climb,3
" Aye, but you took your sweet time of it. You won't be fighting straw men, little lady. Show me your position.",ANGUY,,6,The Climb,3
Keep your elbow high. You want your back doing the hard labor. You're holding. Never hold.,ANGUY,,6,The Climb,3
Your muscles tense up when you hold. Pull the string back to the center of your chin and release. Never hold.,ANGUY,,6,The Climb,3
Never aim.,ANGUY,,6,The Climb,3
Your eye knows where it wants the arrow to go. Trust your eye.,ANGUY,,6,The Climb,3
That's about far enough.,ANGUY,,6,The Climb,3
" Begging your pardon, m'lady, but we'll be the judge of that.",ANGUY,,6,The Climb,3
Bodkin point. Penetrates plate at 200 yards. Can you make 'em?,ANGUY,,6,The Climb,3
I'll get you the steel.,ANGUY,,6,The Climb,3
That's 'cause you're a girl.,ANGUY,,6,The Climb,3
We're outlaws. Outlaws steal. You're lucky we didn't kill you.,ANGUY,,5,Kissed by Fire,3
Some of us were swineherds. And some of us tanners and masons. That was before.,ANGUY,,4,And Now His Watch Is Ended,3
" And a kinder fate than you deserve. Lions you call yourselves. At the Mummer's Ford, girls of seven years were raped and babes still on the breast were cut in two while their mothers watched.",ANGUY,,4,And Now His Watch Is Ended,3
Murder is a crime.,ANGUY,,4,And Now His Watch Is Ended,3
Better than anyone you've ever met.,ANGUY,,3,Walk of Punishment,3
Why? So you can kiss him?,ANGUY,,3,Walk of Punishment,3
" Now, apologies, but you're one ugly fucker and I'd rather not see you no more.",ANGUY,,3,Walk of Punishment,3
(sarcastically) Watch your head. Off we go.,ANGUY,,3,Walk of Punishment,3
"  Just a dirty little cub, I think.",ANGUY,,2,"Dark Wings, Dark Words",3
Generous.,ANGUY,,2,"Dark Wings, Dark Words",3
The fat to your left and the lad beside him.,ANGUY,,2,"Dark Wings, Dark Words",3
" Here's the thing, fat",ANGUY,,2,"Dark Wings, Dark Words",3
" When I'm done talking, that arrow's falling down on your fat head. So I advise you move, because I'm done talking.",ANGUY,,2,"Dark Wings, Dark Words",3
Half the country's starving and look at this one.,ANGUY,,2,"Dark Wings, Dark Words",3
" Hey, hey.",ANGUY,,2,"Dark Wings, Dark Words",3
One waits for him to drink until he passes out.,ANGUY,,2,"Dark Wings, Dark Words",3
" My queen, our first contest. Who will triumph: the strong or the quick?",ANNOUNCER,ESSOS,9,The Dance of Dragons,5
We ask again: who will triumph?,ANNOUNCER,ESSOS,9,The Dance of Dragons,5
A Meereenese champion?,ANNOUNCER,ESSOS,9,The Dance of Dragons,5
...or a Westerosi Knight?!,ANNOUNCER,ESSOS,9,The Dance of Dragons,5
" Free citizens of Meereen! By the blessings of the Graces and her majesty the Queen, welcome to the Great Games!",ANNOUNCER,ESSOS,9,The Dance of Dragons,5
" Lothor Brune, freerider in the service of Lord Baelish.",ANNOUNCER,WESTEROSI,1,The North Remembers,2
Ser Dontos the Red of House Hollard.,ANNOUNCER,WESTEROSI,1,The North Remembers,2
(Yells) Ser Dontos the Red of House Hollard!,ANNOUNCER,WESTEROSI,1,The North Remembers,2
Knock!  Draw!,RANDYLL TARLY,REACH,4,The Spoils of War,7
You’ll find out very soon.,AREO HOTAH,ESSOS,9,The Dance of Dragons,5
Prince Doran hopes this satisfies your concerns about the princess’s wellbeing.,AREO HOTAH,ESSOS,7,The Gift,5
" Yes, my prince.",AREO HOTAH,ESSOS,6,"Unbowed, Unbent, Unbroken",5
I remember how.,AREO HOTAH,ESSOS,6,"Unbowed, Unbent, Unbroken",5
Drop you weapons!,AREO HOTAH,ESSOS,6,"Unbowed, Unbent, Unbroken",5
Drop your weapons!,AREO HOTAH,ESSOS,6,"Unbowed, Unbent, Unbroken",5
" When you were whole, it would have been a good fight.",AREO HOTAH,ESSOS,6,"Unbowed, Unbent, Unbroken",5
The prince does not wish to be disturbed.,AREO HOTAH,ESSOS,2,The House of Black and White,5
Lord Stark.,ARTHUR,,3,Oathbreaker,6
We weren’t there.,ARTHUR,,3,Oathbreaker,6
Our prince wanted us here.,ARTHUR,,3,Oathbreaker,6
I wish you good fortune in the wars to come.,ARTHUR,,3,Oathbreaker,6
And now it begins.,ARTHUR,,3,Oathbreaker,6
Better.,ARTHUR,,3,Oathbreaker,6
No one’s seen him.,ARTHUR,,3,Oathbreaker,6
He called us his little birds. He gave us sweets.,ARTHUR,,3,Oathbreaker,6
What are you doing here?,ARYA STARK,NORTH,10,Valar Morghulis,2
How did you know we'd come this way?,ARYA STARK,NORTH,10,Valar Morghulis,2
How did you kill those guards? Was it hard?,ARYA STARK,NORTH,10,Valar Morghulis,2
Where?,ARYA STARK,NORTH,10,Valar Morghulis,2
My dancing master was from Braavos.,ARYA STARK,NORTH,10,Valar Morghulis,2
" I want to. But I can't. I need to find my brother and mother. And my sister. I need to find her, too.",ARYA STARK,NORTH,10,Valar Morghulis,2
What is it?,ARYA STARK,NORTH,10,Valar Morghulis,2
Could it buy a horse?,ARYA STARK,NORTH,10,Valar Morghulis,2
Then what good is it?,ARYA STARK,NORTH,10,Valar Morghulis,2
Valar Morghulis.,ARYA STARK,NORTH,10,Valar Morghulis,2
" Please don't go, Jaqen.",ARYA STARK,NORTH,10,Valar Morghulis,2
Valar Morghulis.,ARYA STARK,NORTH,10,Valar Morghulis,2
Mind if I keep warm?  Frey Soldier #2: Fuck off.,ARYA STARK,NORTH,10,Mhysa,3
But I'm hungry.,ARYA STARK,NORTH,10,Mhysa,3
I've got money.,ARYA STARK,NORTH,10,Mhysa,3
It's worth a lot.,ARYA STARK,NORTH,10,Mhysa,3
Sorry.,ARYA STARK,NORTH,10,Mhysa,3
From you.,ARYA STARK,NORTH,10,Mhysa,3
The first man.,ARYA STARK,NORTH,10,Mhysa,3
(whispers) Valar morghulis.,ARYA STARK,NORTH,10,Mhysa,3
" People coming. You can shit later, there’s people coming!",ARYA STARK,NORTH,10,The Children,4
Morning.,ARYA STARK,NORTH,10,The Children,4
About ten more miles.,ARYA STARK,NORTH,10,The Children,4
Are you a knight?,ARYA STARK,NORTH,10,The Children,4
But you know how to use that sword.,ARYA STARK,NORTH,10,The Children,4
Does it have a name?,ARYA STARK,NORTH,10,The Children,4
Mine’s “Needle.”,ARYA STARK,NORTH,10,The Children,4
Who taught you how to fight?,ARYA STARK,NORTH,10,The Children,4
Mine never wanted to. Said fighting was for boys.,ARYA STARK,NORTH,10,The Children,4
My mother’s dead.,ARYA STARK,NORTH,10,The Children,4
You’re not a northerner.,ARYA STARK,NORTH,10,The Children,4
Why didn’t you?,ARYA STARK,NORTH,10,The Children,4
